Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2018-788;2018;Long métrage;TANGUY 2;Etienne Chatiliez;NAC FILMS;9 place jean-baptiste clément, 75018 paris;75018;2018-07-23;2018-07-23;2.33887676;48.88681997;"{""coordinates"": [2.3388767602446117, 48.886819970723906], ""type"": ""Point""}";48.886819970723906, 2.3388767602446117
2018-791;2018;Série TV;Osmosis;Julius Berg;CAPA SERIES;quai françois mauriac, 75013 paris;75013;2018-07-04;2018-07-05;2.37930968;48.83253644;"{""coordinates"": [2.3793096834725165, 48.83253643858983], ""type"": ""Point""}";48.83253643858983, 2.3793096834725165
2018-879;2018;Série TV;EDEN;DOMINIK MOLL;ATLANTIQUE PRODUCTIONS;place de la bataille de stalingrad, 75019 paris;75019;2018-08-06;2018-08-06;2.36957428;48.88306733;"{""coordinates"": [2.369574283713494, 48.88306733062715], ""type"": ""Point""}";48.88306733062715, 2.369574283713494
2019-169;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue bichat, 75010 paris;75010;2019-02-15;2019-02-15;2.36787378;48.87180669;"{""coordinates"": [2.367873777552743, 48.87180668601615], ""type"": ""Point""}";48.87180668601615, 2.367873777552743
2019-183;2019;Long métrage;J'ACCUSE;Roman Polanski;LEGENDAIRE;place georges mulot, 75015 paris;75015;2019-02-26;2019-02-27;2.30996607;48.84698001;"{""coordinates"": [2.3099660729815525, 48.84698000789973], ""type"": ""Point""}";48.84698000789973, 2.3099660729815525
2019-527;2019;Long métrage;ETE 84;Francois Ozon;MANDARIN production;route dom pérignon, 75012 paris;75012;2019-05-21;2019-05-22;2.40964512;48.82779856;"{""coordinates"": [2.4096451156943752, 48.82779855717736], ""type"": ""Point""}";48.82779855717736, 2.4096451156943752
2019-1443;2019;Long métrage;PAR UN DEMI CLAIR MATIN;Bruno Dumont;3B PRODUCTIONS;4 place de tokyo, 75116 paris;75116;2019-11-04;2019-11-04;2.2967467;48.86510393;"{""coordinates"": [2.29674669892743, 48.86510393272344], ""type"": ""Point""}";48.86510393272344, 2.29674669892743
2021-1342;2021;Long métrage;Les Volets Verts;Jean Becker;ARPROD;18 rue ravignan, 75018 paris;75018;2021-09-03;2021-09-04;2.33812797;48.88621474;"{""coordinates"": [2.338127968124326, 48.88621474092454], ""type"": ""Point""}";48.88621474092454, 2.338127968124326
2021-1360;2021;Long métrage;Du Crépitement Sous Les Néons;Fabrice GARÇON - Kevin OSSONA;Bonne Pioche Cinéma;boulevard périphérique, 75014 paris;75014;2021-09-20;2021-09-20;2.32941625;48.81936241;"{""coordinates"": [2.3294162514656893, 48.8193624069125], ""type"": ""Point""}";48.8193624069125, 2.3294162514656893
2021-47;2021;Long métrage;LE PROCESSUS DE PAIX;Ilan KLIPPER;CINEFRANCE STUDIOS;28 rue buffault, 75009 paris;75009;2021-01-25;2021-01-25;2.34234454;48.87616718;"{""coordinates"": [2.342344543207246, 48.8761671828861], ""type"": ""Point""}";48.8761671828861, 2.342344543207246
